winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
L,Rob Mooney,5.0,-1.0,-7.0,28.0,-110.0,4.0,-18.0,-18.0,0.0,-19.0,-1.0,-22.0,-12.0,-32.0,-7.0,19.0,-7.0,-7.0,1.0
W,Keith Peterson,4.0,0.0,-4.0,-5.0,27.0,-22.0,11.0,3.0,0.0,-13.0,18.0,9.0,7.0,12.0,4.0,0.0,6.0,-3.0,16.0
W,Jason Herzog,3.0,-1.0,-6.0,1.0,119.0,-35.0,5.0,2.0,0.0,1.0,33.0,5.0,0.0,34.0,29.0,100.0,-6.0,0.0,41.0
L,Vitor Ribeiro,-1.0,0.0,-1.0,25.0,-49.0,4.0,-17.0,-8.0,0.0,-28.0,-3.0,-25.0,-1.0,-32.0,-9.0,-100.0,1.0,-6.0,-4.0
L,Jason Herzog,-2.0,0.0,-5.0,-3.0,-8.0,-2.0,6.0,11.0,0.0,-13.0,-2.0,8.0,3.0,-12.0,-13.0,-10.0,3.0,-5.0,-2.0
L,Herb Dean,1.0,0.0,-58.0,35.0,-20.0,4.0,5.0,-9.0,0.0,-17.0,0.0,24.0,-2.0,-19.0,6.0,50.0,-3.0,-30.0,0.0
W,Mark Smith,4.0,0.0,6.0,20.0,95.0,13.0,28.0,32.0,0.0,6.0,2.0,-28.0,32.0,40.0,9.0,71.0,-19.0,3.0,4.0
L,Herb Dean,-1.0,-1.0,17.0,-3.0,-14.0,13.0,-6.0,-7.0,0.0,-6.0,-4.0,-15.0,-1.0,-11.0,-8.0,-19.0,1.0,3.0,-14.0
W,Herb Dean,3.0,0.0,-27.0,37.0,37.0,-17.0,-7.0,-12.0,0.0,-22.0,3.0,-11.0,0.0,-19.0,-1.0,75.0,0.0,-11.0,16.0
W,Jason Herzog,0.0,0.0,-14.0,21.0,-25.0,7.0,1.0,-11.0,1.0,7.0,0.0,-6.0,7.0,14.0,17.0,-75.0,9.0,-4.0,-17.0
